number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
0,0.30004372237849375,COMPLETE,2025-11-25 23:49:54.146564,2025-11-25 23:50:15.443621,0 days 00:00:21.297057,"[640, 320, 160, 80, 64]","[0, 1, 3]",[1],elu,640,96,0.3,1e-05,L2,5,decreasing,,mean,False,1e-07
1,0.41202351189201103,COMPLETE,2025-11-25 23:50:15.446749,2025-11-25 23:50:29.744232,0 days 00:00:14.297483,"[256, 512, 1024]","[0, 1]","[0, 1]",gelu,1024,64,0.2,0.001,minmax,3,increasing,0.6,max,True,1e-07
2,0.1761006289308176,PRUNED,2025-11-25 23:50:29.746243,2025-11-25 23:50:32.180307,0 days 00:00:02.434064,"[1024, 512, 256]",[0],[1],silu,1024,64,0.2,1e-05,L2,3,decreasing,0.9,max,True,1e-07
3,0.30142065830628456,COMPLETE,2025-11-25 23:50:32.180307,2025-11-25 23:50:57.269363,0 days 00:00:25.089056,[896],[],[],elu,896,32,,1e-05,minmax,1,decreasing,,max,False,0.0001
4,0.380400940876445,COMPLETE,2025-11-25 23:50:57.271370,2025-11-25 23:51:17.541351,0 days 00:00:20.269981,"[256, 128, 64, 64, 64, 64]","[0, 2, 4]","[2, 4]",silu,256,96,0.5,0.0002,minmax,6,decreasing,0.9,max,True,1e-07
5,0.4095477971020065,COMPLETE,2025-11-25 23:51:17.543737,2025-11-25 23:51:29.594935,0 days 00:00:12.051198,"[640, 640]",[],[],gelu,640,64,,0.0002,minmax,2,uniform,,max,False,1e-06
6,0.3054626532887403,PRUNED,2025-11-25 23:51:29.596940,2025-11-25 23:51:32.544141,0 days 00:00:02.947201,"[512, 512, 512]","[0, 1]",[],silu,512,128,,5e-05,L2,3,uniform,0.7,mean,True,1e-05
7,0.43244261925227445,COMPLETE,2025-11-25 23:51:32.545143,2025-11-25 23:51:44.768222,0 days 00:00:12.223079,"[896, 896, 896]","[0, 1]","[0, 1]",gelu,896,96,0.1,0.0001,L2,3,uniform,0.5,mean,True,1e-05
8,0.2770053475935829,PRUNED,2025-11-25 23:51:44.771265,2025-11-25 23:51:47.627681,0 days 00:00:02.856416,"[256, 512]",[0],[],leakyrelu,512,48,,2e-05,minmax,2,increasing,,max,False,1e-06
9,0.21839080459770113,PRUNED,2025-11-25 23:51:47.628407,2025-11-25 23:51:55.819237,0 days 00:00:08.190830,"[384, 384, 384, 384]","[1, 2]","[0, 1, 2]",leakyrelu,384,32,0.2,2e-05,minmax,4,uniform,,max,False,1e-05
10,0.46075250137282237,COMPLETE,2025-11-25 23:51:55.820239,2025-11-25 23:53:07.372132,0 days 00:01:11.551893,"[896, 896, 896, 896, 896]","[1, 3]","[0, 1, 3]",tanh,896,16,0.1,0.0001,L2,5,uniform,0.5,mean,True,0.0
11,0.44825356800383115,COMPLETE,2025-11-25 23:53:07.374156,2025-11-25 23:54:16.923574,0 days 00:01:09.549418,"[896, 896, 896, 896, 896]","[1, 3]","[0, 1, 3]",tanh,896,16,0.1,0.0001,L2,5,uniform,0.5,mean,True,0.0
12,0.21637426900584797,PRUNED,2025-11-25 23:54:16.925575,2025-11-25 23:54:35.545255,0 days 00:00:18.619680,"[768, 768, 768, 768, 768, 768]","[1, 3]","[0, 1, 3]",tanh,768,16,0.1,0.0001,L2,6,uniform,0.5,mean,True,0.0
13,0.3835341365461848,PRUNED,2025-11-25 23:54:35.545255,2025-11-25 23:54:48.010144,0 days 00:00:12.464889,"[128, 128, 128, 128, 128]","[1, 3]","[0, 1, 3]",tanh,128,16,0.4,0.0005,L2,5,uniform,0.8,mean,True,0.0
14,0.3480295386415149,PRUNED,2025-11-25 23:54:48.010144,2025-11-25 23:54:58.791446,0 days 00:00:10.781302,"[896, 896, 896, 896, 896]",[3],"[0, 3]",relu,896,16,0.1,0.0001,L2,5,uniform,0.5,mean,True,0.0
15,0.3063565891472868,PRUNED,2025-11-25 23:54:58.791446,2025-11-25 23:55:34.665627,0 days 00:00:35.874181,"[896, 896, 896, 896]",[1],"[0, 1]",tanh,896,16,0.1,0.0001,L2,4,uniform,0.5,mean,True,0.0
16,0.445132198721683,COMPLETE,2025-11-25 23:55:34.667628,2025-11-25 23:56:52.497977,0 days 00:01:17.830349,"[64, 112, 224, 448, 896]","[1, 3]","[0, 1, 3]",tanh,896,16,0.1,0.0001,L2,5,increasing,0.5,mean,True,0.0
17,0.2987468671679198,PRUNED,2025-11-25 23:56:52.500050,2025-11-25 23:56:54.423177,0 days 00:00:01.923127,"[128, 128, 128, 128, 128, 128]",[4],"[0, 3, 4]",tanh,128,48,0.4,5e-05,L2,6,uniform,0.6,mean,True,0.0001
18,0.3209876543209877,PRUNED,2025-11-25 23:56:54.424182,2025-11-25 23:57:02.910131,0 days 00:00:08.485949,"[384, 384, 384, 384]","[1, 2]","[0, 1, 2]",relu,384,16,0.3,0.001,L2,4,uniform,0.8,mean,True,0.0
19,0.29784087548062704,PRUNED,2025-11-25 23:57:02.910131,2025-11-25 23:57:04.025742,0 days 00:00:01.115611,"[64, 96, 192, 384, 768]","[1, 3]","[0, 1, 3]",tanh,768,128,0.5,0.0005,L2,5,increasing,0.7,mean,True,0.0
20,0.21839080459770113,PRUNED,2025-11-25 23:57:04.026744,2025-11-25 23:57:15.509078,0 days 00:00:11.482334,"[256, 256, 256, 256, 256, 256]","[1, 3]","[0, 1, 3]",tanh,256,16,0.1,0.0001,L2,6,uniform,0.5,mean,True,0.0
21,0.3724867724867725,PRUNED,2025-11-25 23:57:15.509078,2025-11-25 23:57:24.696868,0 days 00:00:09.187790,"[64, 112, 224, 448, 896]","[1, 3]","[0, 1, 3]",tanh,896,16,0.1,0.0001,L2,5,increasing,0.5,mean,True,0.0
22,0.355877616747182,PRUNED,2025-11-25 23:57:24.697871,2025-11-25 23:57:32.452028,0 days 00:00:07.754157,"[112, 224, 448, 896]",[1],"[0, 1]",tanh,896,16,0.1,0.0001,L2,4,increasing,0.5,mean,True,0.0
23,0.21637426900584797,PRUNED,2025-11-25 23:57:32.464018,2025-11-25 23:58:13.851404,0 days 00:00:41.387386,"[64, 112, 224, 448, 896]","[1, 3]","[0, 1, 3]",tanh,896,16,0.1,0.0001,L2,5,increasing,0.5,mean,True,0.0
24,0.3772245216494558,PRUNED,2025-11-25 23:58:13.853410,2025-11-25 23:58:37.071902,0 days 00:00:23.218492,"[64, 64, 112, 224, 448, 896]","[1, 3, 4]","[0, 1, 3]",tanh,896,16,0.1,0.0001,L2,6,increasing,0.5,mean,True,0.0
25,0.3451300665456745,PRUNED,2025-11-25 23:58:37.072908,2025-11-25 23:58:47.425159,0 days 00:00:10.352251,"[112, 224, 448, 896]","[1, 2]","[0, 2]",tanh,896,16,0.1,0.0001,L2,4,increasing,0.5,mean,True,1e-06
26,0.2714893617021277,PRUNED,2025-11-25 23:58:47.426214,2025-11-25 23:58:49.483266,0 days 00:00:02.057052,"[896, 896, 896, 896, 896]",[],"[0, 1]",leakyrelu,896,128,0.4,0.0001,L2,5,uniform,,mean,False,0.0001
27,0.21839080459770113,PRUNED,2025-11-25 23:58:49.483266,2025-11-25 23:58:53.738062,0 days 00:00:04.254796,"[896, 896, 896, 896, 896]","[1, 3]","[0, 1, 3]",relu,896,48,0.1,0.001,L2,5,uniform,0.6,mean,True,0.0
28,0.23589743589743592,PRUNED,2025-11-25 23:58:53.739077,2025-11-25 23:59:12.080723,0 days 00:00:18.341646,"[128, 64, 64, 64, 64, 64]","[1, 3]","[0, 1, 3, 4]",elu,128,32,0.5,2e-05,L2,6,decreasing,0.5,mean,True,0.0
29,0.21839080459770113,PRUNED,2025-11-25 23:59:12.081751,2025-11-25 23:59:13.438494,0 days 00:00:01.356743,"[80, 160, 320, 640]",[2],"[0, 2]",elu,640,96,0.3,5e-05,L2,4,increasing,,mean,False,0.0
30,0.18238993710691823,PRUNED,2025-11-25 23:59:13.439498,2025-11-25 23:59:47.718975,0 days 00:00:34.279477,"[1024, 1024, 1024, 1024, 1024]","[1, 3]","[1, 3]",tanh,1024,16,0.1,0.0005,L2,5,uniform,0.8,mean,True,1e-05
31,0.21839080459770113,PRUNED,2025-11-25 23:59:47.719979,2025-11-25 23:59:51.427854,0 days 00:00:03.707875,"[896, 896]",[0],[0],gelu,896,96,0.1,0.0001,L2,2,uniform,0.5,mean,True,1e-05
32,0.21839080459770113,PRUNED,2025-11-25 23:59:51.428857,2025-11-25 23:59:54.388922,0 days 00:00:02.960065,"[896, 896, 896]","[0, 1]","[0, 1]",gelu,896,96,0.1,0.0001,L2,3,uniform,0.5,mean,True,1e-05
33,0.21839080459770113,PRUNED,2025-11-25 23:59:54.389931,2025-11-25 23:59:55.441450,0 days 00:00:01.051519,"[896, 448, 224]","[0, 1]","[0, 1]",gelu,896,96,0.1,1e-05,L2,3,decreasing,0.5,mean,True,1e-07
34,0.20833333333333334,PRUNED,2025-11-25 23:59:55.442545,2025-11-25 23:59:57.769957,0 days 00:00:02.327412,[1024],[],[],gelu,1024,64,,0.0001,minmax,1,uniform,0.9,mean,True,1e-05
35,0.1761006289308176,PRUNED,2025-11-25 23:59:57.771008,2025-11-26 00:00:00.793268,0 days 00:00:03.022260,"[256, 128, 64]","[0, 1]","[0, 1]",silu,256,96,0.3,0.0002,L2,3,decreasing,0.7,max,True,1e-07
36,0.22028985507246376,PRUNED,2025-11-26 00:00:00.794271,2025-11-26 00:00:02.445260,0 days 00:00:01.650989,"[896, 896, 896, 896]","[0, 1]","[0, 1]",gelu,896,64,0.1,1e-05,minmax,4,uniform,0.5,mean,True,0.0001
37,0.259751320047692,PRUNED,2025-11-26 00:00:02.447269,2025-11-26 00:00:09.701421,0 days 00:00:07.254152,"[160, 320, 640]","[0, 1]",[1],elu,640,32,0.2,0.0001,L2,3,increasing,,max,False,1e-05
38,0.21637426900584797,PRUNED,2025-11-26 00:00:09.701421,2025-11-26 00:00:16.028737,0 days 00:00:06.327316,"[512, 512]",[0],[0],silu,512,96,0.1,0.001,L2,2,uniform,0.6,mean,True,1e-06
39,0.21637426900584797,PRUNED,2025-11-26 00:00:16.029743,2025-11-26 00:00:47.017902,0 days 00:00:30.988159,"[384, 192, 96, 64, 64]","[0, 1]",[1],gelu,384,16,0.5,0.0001,minmax,5,decreasing,,max,False,1e-07
40,0.4560844189934589,COMPLETE,2025-11-26 00:00:47.018908,2025-11-26 00:01:00.029934,0 days 00:00:13.011026,"[768, 768, 768, 768, 768, 768]","[1, 2, 3, 4]","[0, 1, 2, 3]",leakyrelu,768,128,0.2,0.0002,L2,6,uniform,0.5,mean,True,1e-05
41,0.47102170279904343,COMPLETE,2025-11-26 00:01:00.029934,2025-11-26 00:01:13.320359,0 days 00:00:13.290425,"[768, 768, 768, 768, 768, 768]","[1, 2, 3, 4]","[0, 1, 2, 3]",leakyrelu,768,128,0.2,0.0002,L2,6,uniform,0.5,mean,True,1e-05
42,0.4600941884797264,COMPLETE,2025-11-26 00:01:13.323379,2025-11-26 00:01:30.020050,0 days 00:00:16.696671,"[768, 768, 768, 768, 768, 768]","[1, 2, 3, 4]","[0, 1, 2, 3]",leakyrelu,768,128,0.2,0.0002,L2,6,uniform,0.5,mean,True,1e-05
43,0.21637426900584797,PRUNED,2025-11-26 00:01:30.022057,2025-11-26 00:01:37.860374,0 days 00:00:07.838317,"[768, 768, 768, 768, 768, 768]","[1, 2, 3, 4]","[0, 1, 2, 3]",leakyrelu,768,128,0.2,0.0002,L2,6,uniform,0.9,mean,True,1e-05
44,0.21839080459770113,PRUNED,2025-11-26 00:01:37.861378,2025-11-26 00:01:40.133592,0 days 00:00:02.272214,"[768, 768, 768, 768, 768, 768]","[1, 2, 3, 4]","[0, 1, 2, 3]",leakyrelu,768,128,0.2,0.0002,L2,6,uniform,0.5,mean,True,1e-05
45,0.3216094948617745,PRUNED,2025-11-26 00:01:40.134595,2025-11-26 00:01:41.379706,0 days 00:00:01.245111,"[768, 768, 768, 768, 768, 768]","[2, 3, 4]","[1, 2, 3]",leakyrelu,768,128,0.2,0.0002,minmax,6,uniform,0.5,mean,True,1e-05
46,0.35501741057296615,PRUNED,2025-11-26 00:01:41.380709,2025-11-26 00:01:47.325061,0 days 00:00:05.944352,"[768, 768, 768, 768, 768, 768]","[1, 2, 3, 4]","[0, 1, 2, 3]",leakyrelu,768,128,0.2,0.0002,L2,6,uniform,0.5,max,True,1e-05
47,0.21839080459770113,PRUNED,2025-11-26 00:01:47.326064,2025-11-26 00:01:49.579672,0 days 00:00:02.253608,"[768, 768, 768, 768, 768, 768]","[1, 2, 3, 4]","[0, 2, 3]",leakyrelu,768,128,0.2,0.0002,L2,6,uniform,0.7,mean,True,1e-05
48,0.46115288220551376,PRUNED,2025-11-26 00:01:49.580675,2025-11-26 00:01:55.224964,0 days 00:00:05.644289,"[768, 768, 768, 768, 768, 768]","[1, 2, 3, 4]","[0, 1, 2, 3]",leakyrelu,768,128,0.2,0.0002,L2,6,uniform,,mean,False,1e-05
49,0.21839080459770113,PRUNED,2025-11-26 00:01:55.225968,2025-11-26 00:01:59.857640,0 days 00:00:04.631672,"[768, 768, 768, 768, 768, 768]","[1, 2, 3, 4]","[0, 1, 2, 3]",leakyrelu,768,128,0.2,0.0002,L2,6,uniform,0.9,mean,True,1e-06
