hidden_layers,pca_frac,norm_layers,dropout_layers,dropout_rate,pooling,norm,batch_size,num_layers,base_dim,activation,optimizer,momentum_sgd,learning_rate,weight_decay,use_pca,source_params
"[768,512,256]",,"[1,2]","[1,2]",0.45,mean,"",96,3,768,silu,AdamW,,0.0002,1e-06,False,NoNormTest
"[1024,640,320,160]",0.8,"[1,3]","[2,3]",0.5,max,"",64,4,1024,gelu,Adam,,0.00015,1e-06,True,NoNormTest
"[896,640,320]",,"[1,2]","[2]",0.4,mean,"",128,3,896,leakyrelu,AdamW,,0.00022,5e-06,False,NoNormTest
"[640,384,256]",0.75,"[1]","[1,2]",0.35,max,"",80,3,640,gelu,Adam,,0.0001,1e-06,True,NoNormTest
"[1280,896,512,256]",,"[1,3]","[2,3]",0.4,mean,"",64,4,1280,silu,AdamW,,0.00018,5e-07,False,NoNormTest
"[512,384,192]",0.7,"[1,2]","[2]",0.3,max,"",128,3,512,gelu,AdamW,,0.0002,1e-06,True,NoNormTest
"[960,640,320]",,"[1,2,3]","[1,2]",0.4,mean,"",96,3,960,silu,Adam,,0.0002,5e-07,False,NoNormTest
"[1408,1024,640]",0.85,"[1,2]","[1,2]",0.45,max,"",64,3,1408,gelu,AdamW,,0.0002,1e-06,True,NoNormTest
"[768,512,384,256]",,"[1,3]","[2,3]",0.5,mean,"",80,4,768,silu,Adam,,0.00025,1e-06,False,NoNormTest
"[1024,768,512,256]",0.75,"[1,2,3]","[1,2]",0.45,mean,"",96,4,1024,gelu,AdamW,,0.00018,5e-06,True,NoNormTest


"[768, 512, 256]",0.8,"[1,2]","[1,2]",0.45,mean,minmax,128,3,768,silu,Adam,,0.00015,1e-06,True,Presets_new
"[1024, 640, 320, 160]",0.80,"[1,3]","[2,3]",0.5,max,L2,96,4,1024,gelu,AdamW,,0.0002,1e-05,True,Presets_new
"[896, 640, 384]",0.85,"[1,2]","[2]",0.4,mean,minmax,128,3,896,leakyrelu,Adam,,0.00022,5e-06,True,Presets_new
"[640, 384, 256]",0.75,"[1]","[1,2]",0.35,mean,L2,128,3,640,gelu,AdamW,,0.0002,1e-05,True,Presets_new
